year,subunit,age,f
1998,1,1,0.01876067874228
1998,1,2,0.11574967134267998
1998,1,3,0.33127252989598
1998,1,4,0.40632379694876
1998,1,5,0.41661778740919997
1998,1,6,0.41797600048064
1998,1,7,0.41816688549709996
1998,1,8,0.4181948
1999,1,1,0.023288895370739998
1999,1,2,0.14368787089893997
1999,1,3,0.41123092580659
1999,1,4,0.5043971235675799
1999,1,5,0.5171757479486
1999,1,6,0.51886178940512
1999,1,7,0.51909874784555
1999,1,8,0.5191334
2000,1,1,0.01857847538463
2000,1,2,0.11462551272052998
2000,1,3,0.328055217341705
2000,1,4,0.40237758790621
2000,1,5,0.4125716033257
2000,1,6,0.41391662545744
2000,1,7,0.414105656602225
2000,1,8,0.4141333
2001,1,1,0.025727100641850003
2001,1,2,0.15873111441235
2001,1,3,0.45428429501897505
2001,1,4,0.5572044253239501
2001,1,5,0.5713208937215001
2001,1,6,0.5731834534328001
2001,1,7,0.573445219976375
2001,1,8,0.5734835
2002,1,1,0.02648397020439
2002,1,2,0.16340084967708998
2002,1,3,0.467648955126865
2002,1,4,0.57359690870213
2002,1,5,0.5881286716721
2002,1,6,0.5900460263163201
2002,1,7,0.590315493810425
2002,1,8,0.5903549
2003,1,1,0.01614521380674
2003,1,2,0.09961277081493998
2003,1,3,0.28508914293258997
2003,1,4,0.34967735797958
2003,1,5,0.3585362419886
2003,1,6,0.35970510377312
2003,1,7,0.35986937711554995
2003,1,8,0.3598934
2004,1,1,0.01379107823703
2004,1,2,0.08508822070493
2004,1,3,0.24352026066510502
2004,1,4,0.29869086029701003
2004,1,5,0.3062580293617
2004,1,6,0.30725645926864004
2004,1,7,0.307396779895225
2004,1,8,0.3074173
2005,1,1,0.01358951731473
2005,1,2,0.08384462974362998
2005,1,3,0.23996113588205498
2005,1,4,0.29432539994291
2005,1,5,0.3017819724647
2005,1,6,0.30276581000624
2005,1,7,0.30290407980297496
2005,1,8,0.3029243
2006,1,1,0.01734968050842
2006,1,2,0.10704409175901998
2006,1,3,0.30635738897646997
2006,1,4,0.37576401988814
2006,1,5,0.3852837951638
2006,1,6,0.38653985648096
2006,1,7,0.38671638495815
2006,1,8,0.3867422
2007,1,1,0.01713722731104
2007,1,2,0.10573329761824
2007,1,3,0.30260593045264
2007,1,4,0.37116265172768004
2007,1,5,0.38056585386560005
2007,1,6,0.38180653425152006
2007,1,7,0.3819809010728
2007,1,8,0.3820064
2008,1,1,0.01014105801606
2008,1,2,0.06256831901186
2008,1,3,0.17906889142721
2008,1,4,0.21963774630802
2008,1,5,0.2252021481034
2008,1,6,0.22593632823328
2008,1,7,0.22603951085545
2008,1,8,0.2260546
2009,1,1,0.010753124028288
2009,1,2,0.069274840564675
2009,1,3,0.24019932227942
2009,1,4,0.34340319356625504
2009,1,5,0.38894685568401505
2009,1,6,0.404607206596645
2009,1,7,0.409018395691775
2009,1,8,0.4101791
2010,1,1,0.012587086489343998
2010,1,2,0.08108977516015
2010,1,3,0.28116569996396
2010,1,4,0.40197115617419005
2010,1,5,0.45528236253707
2010,1,6,0.47361361128601004
2010,1,7,0.47877713571994995
2010,1,8,0.4801358
2011,1,1,0.005860182324864
2011,1,2,0.037753046944024996
2011,1,3,0.13090259343826
2011,1,4,0.18714610934876502
2011,1,5,0.211966260502045
2011,1,6,0.220500758139935
2011,1,7,0.22290474532532498
2011,1,8,0.2235373
2012,1,1,0.008490422471808
2012,1,2,0.054697840507925
2012,1,3,0.18965592866122
2012,1,4,0.27114336111770504
2012,1,5,0.307103602185865
2012,1,6,0.319468659536195
2012,1,7,0.32295163424402495
2012,1,8,0.3238681
2013,1,1,0.006692197225728
2013,1,2,0.04311313573805
2013,1,3,0.14948783571652002
2013,1,4,0.21371667370753003
2013,1,5,0.24206073153409002
2013,1,6,0.25180693706987
2013,1,7,0.25455223670065
2013,1,8,0.2552746
2014,1,1,0.005875743952511999
2014,1,2,0.037853299602825
2014,1,3,0.13125020334258
2014,1,4,0.18764307307924502
2014,1,5,0.212529133777485
2014,1,6,0.221086294647855
2014,1,7,0.22349666558572498
2014,1,8,0.2241309
2015,1,1,0.005702358688127999
2015,1,2,0.036736299881174994
2015,1,3,0.12737718719502
2015,1,4,0.18210597954715502
2015,1,5,0.206257686221715
2015,1,6,0.214562336837745
2015,1,7,0.21690158098627496
2015,1,8,0.2175171
2016,1,1,0.0070715879251199995
2016,1,2,0.045557284075125
2016,1,3,0.1579625253633
2016,1,4,0.22583259252682503
2016,1,5,0.255783517509225
2016,1,6,0.266082250056675
2016,1,7,0.268983184841625
2016,1,8,0.2697465
2017,1,1,0.009644688375936
2017,1,2,0.06213396662972499
2017,1,3,0.21543949510874
2017,1,4,0.30800507652798503
2017,1,5,0.348854082590705
2017,1,6,0.36290015924831504
2017,1,7,0.36685664148342495
2017,1,8,0.3678977
2018,1,1,0.008613782975616
2018,1,2,0.055492565762725
2018,1,3,0.19241151013994
2018,1,4,0.27508290378978506
2018,1,5,0.31156562456610504
2018,1,6,0.324110338430515
2018,1,7,0.327643918572425
2018,1,8,0.3285737
2019,1,1,0.014753870115839998
2019,1,2,0.095048843229
2019,1,3,0.32956651420559996
2019,1,4,0.4711678301034
2019,1,5,0.5336562077802
2019,1,6,0.5551430596686
2019,1,7,0.5611954506569999
2019,1,8,0.562788
1989,2,1,0.056977936623299995
1989,2,2,0.3923408034007
1989,2,3,0.8623773639134499
1989,2,4,0.9932533581239499
1989,2,5,1.0187581307018498
1989,2,6,1.0232620514770498
1989,2,7,1.0240421158890998
1989,2,8,1.024177
1990,2,1,0.057270621310200005
1990,2,2,0.3943561825458
1990,2,3,0.8668072303443001
1990,2,4,0.9983555093313001
1990,2,5,1.0239912950139
1990,2,6,1.0285183515627
1990,2,7,1.0293024230154
1990,2,8,1.029438
1991,2,1,0.058969093747200003
1991,2,2,0.4060515874688
1991,2,3,0.8925140963648001
1991,2,4,1.0279636971968
1991,2,5,1.0543597623104
1991,2,6,1.0590210775872
1991,2,7,1.0598284022144
1991,2,8,1.059968
1992,2,1,0.050342300222639996
1992,2,2,0.34664889051656
1992,2,3,0.76194510949676
1992,2,4,0.87757931780516
1992,2,5,0.90011381087948
1992,2,6,0.9040932061556399
1992,2,7,0.9047824244592799
1992,2,8,0.9049016
1993,2,1,0.060743004396600006
1993,2,2,0.41826644765140003
1993,2,3,0.9193627413019001
1993,2,4,1.0588869424729002
1993,2,5,1.0860770550787
1993,2,6,1.0908785922291
1993,2,7,1.0917102028282
1993,2,8,1.091854
1994,2,1,0.03793916769924
1994,2,2,0.26124293748796
1994,2,3,0.5742201520186601
1994,2,4,0.66136487129806
1994,2,5,0.67834740701818
1994,2,6,0.6813463749647399
1994,2,7,0.68186578644748
1994,2,8,0.6819556
1995,2,1,0.040918676671379994
1995,2,2,0.28175935161501997
1995,2,3,0.61931587231717
1995,2,4,0.71330440206247
1995,2,5,0.73162064172541
1995,2,6,0.7348551301761299
1995,2,7,0.7354153330432599
1995,2,8,0.7355122
1996,2,1,0.0619847307246
1996,2,2,0.4268167731634
1996,2,3,0.9381566243539
1996,2,4,1.0805330202049
1996,2,5,1.1082789610747
1996,2,6,1.1131786526571
1996,2,7,1.1140272632841999
1996,2,8,1.114174
1997,2,1,0.055653261641400005
1997,2,2,0.3832193069506
1997,2,3,0.8423280292651001
1997,2,4,0.9701612991241001
1997,2,5,0.9950731135123001
1997,2,6,0.9994723230339001
1997,2,7,1.0002342517978
1997,2,8,1.000366
1998,2,1,0.035680783736889
1998,2,2,0.14999334160480196
1998,2,3,0.36613217521845
1998,2,4,0.569564386743555
1998,2,5,0.7149402650438099
1998,2,6,0.775813674029625
1998,2,7,0.792883186858935
1998,2,8,0.7970337
1999,2,1,0.025603309026977005
1999,2,2,0.107630087539986
1999,2,3,0.26272391593085004
1999,2,4,0.40869990726911504
1999,2,5,0.51301666120133
1999,2,6,0.556697335742625
1999,2,7,0.568945833845455
1999,2,8,0.5719241
2000,2,1,0.029716847412943004
2000,2,2,0.12492240300257398
2000,2,3,0.30493427678515
2000,2,4,0.47436340237128505
2000,2,5,0.59544013725547
2000,2,6,0.6461387379273751
2000,2,7,0.660355132721345
2000,2,8,0.6638119
2001,2,1,0.031202255767816
2001,2,2,0.13116669865588798
2001,2,3,0.3201765370468
2001,2,4,0.49807464439292
2001,2,5,0.62520344769064
2001,2,6,0.678436237941
2001,2,7,0.69336324484364
2001,2,8,0.6969928
2002,2,1,0.032430482356736
2002,2,2,0.13632986468044797
2002,2,3,0.3327797712128
2002,2,4,0.51768055128832
2002,2,5,0.64981357535744
2002,2,6,0.705141788736
2002,2,7,0.72065637324544
2002,2,8,0.7244288
2003,2,1,0.035577958483496
2003,2,2,0.14956108923412798
2003,2,3,0.3650770517108
